,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
107,2018-12-17T00:00:00.000,Open,18-03383912,Garbage Cart Black Maintenance/Replacement,1835 W 108TH PL,60643,1165957.25,1832630.851,19,22,75,41.69638838,-87.66805453,0
108,2018-12-17T00:00:00.000,Open,18-03383678,Garbage Cart Black Maintenance/Replacement,3033 S PULASKI RD,60623,1150189.544,1884185.461,22,10,30,41.83771939,-87.724223,0
109,2018-12-17T00:00:00.000,Open,18-03379053,Garbage Cart Black Maintenance/Replacement,10017 S PERRY AVE,60628,1177368.273,1838540.948,9,5,49,41.71205585,-87.62587815,0
110,2018-12-17T00:00:00.000,Open,18-03380502,Garbage Cart Black Maintenance/Replacement,4252 W WASHINGTON BLVD,60624,1148028.729,1900153.894,28,11,26,41.88207141,-87.73271723,0
111,2018-12-17T00:00:00.000,Open,18-03384769,Garbage Cart Black Maintenance/Replacement,1455 W HARRISON ST,60607,1166773.367,1897461.095,28,12,28,41.87408036,-87.66396913,0
112,2018-12-17T00:00:00.000,Open,18-03383388,Garbage Cart Black Maintenance/Replacement,1218 S CENTRAL PARK AVE,60623,1152563.219,1894287.66,24,10,29,41.86568182,-87.71555123,0
113,2018-12-17T00:00:00.000,Open,18-03383188,Garbage Cart Black Maintenance/Replacement,8515 S BRANDON AVE,60617,1198956.024,1849256.059,10,4,46,41.74079425,-87.54646325,0
114,2018-12-17T00:00:00.000,Open,18-03378675,Garbage Cart Black Maintenance/Replacement,1111 N KEYSTONE AVE,60651,1149183.15,1907107.116,37,11,23,41.90121283,-87.72734136,0
115,2018-12-17T00:00:00.000,Open,18-03385115,Garbage Cart Black Maintenance/Replacement,10045 S DAMEN AVE,60643,1164795.931,1838035.481,19,22,72,41.71067153,-87.67192737,0
116,2018-12-17T00:00:00.000,Open,18-03381831,Garbage Cart Black Maintenance/Replacement,1326 N AVERS AVE,60651,1150468.474,1908605.109,26,25,23,41.90555772,-87.72288329,0
117,2018-12-17T00:00:00.000,Open,18-03382212,Garbage Cart Black Maintenance/Replacement,3829 N WAYNE AVE,60613,1166614.285,1925611.294,44,19,6,41.95189143,-87.66279196,0
118,2018-12-17T00:00:00.000,Open,18-03383576,Garbage Cart Black Maintenance/Replacement,4036 W CERMAK RD,60623,1149812.435,1889074.794,24,10,29,41.85163515,-87.72623692,0
119,2018-12-17T00:00:00.000,Open - Dup,18-03379231,Garbage Cart Black Maintenance/Replacement,6432 S DREXEL AVE,60637,1183498.193,1862554.836,20,3,42,41.77763257,-87.60297059,0
120,2018-12-17T00:00:00.000,Open,18-03379542,Garbage Cart Black Maintenance/Replacement,524 N CENTRAL AVE,60644,1138943.113,1902918.804,29,15,25,41.89004978,-87.76535517,0
121,2018-12-17T00:00:00.000,Open - Dup,18-03380366,Garbage Cart Black Maintenance/Replacement,12155 S STEWART AVE,60628,1175817.147,1824316.075,34,5,53,41.67266944,-87.63196931,0
122,2018-12-17T00:00:00.000,Open,18-03382339,Garbage Cart Black Maintenance/Replacement,2428 W SUPERIOR ST,60612,1160080.96,1904923.921,26,12,24,41.89492233,-87.688013,0
123,2018-12-17T00:00:00.000,Open,18-03379757,Garbage Cart Black Maintenance/Replacement,10949 S RIDGEWAY AVE,60655,1153299.694,1831731.658,19,22,74,41.69356243,-87.71419509,0
124,2018-12-17T00:00:00.000,Open,18-03383777,Garbage Cart Black Maintenance/Replacement,2812 W 36TH ST,60632,1158164.254,1880654.993,12,9,58,41.82837095,-87.69537275,0
125,2018-12-17T00:00:00.000,Open,18-03381593,Garbage Cart Black Maintenance/Replacement,7009 S INDIANA AVE,60637,1178805.754,1858590.119,6,3,69,41.76711903,-87.62000857,0
126,2018-12-17T00:00:00.000,Open,18-03379034,Garbage Cart Black Maintenance/Replacement,9102 S PRINCETON AVE,60620,1176304.43,1844580.802,21,6,49,41.7288678,-87.62989151,0
127,2018-12-17T00:00:00.000,Open,18-03385258,Garbage Cart Black Maintenance/Replacement,1255 N MAPLEWOOD AVE,60622,1159175.996,1908261.659,26,14,24,41.90460694,-87.69061356,0
128,2018-12-17T00:00:00.000,Completed,18-03383778,Garbage Cart Black Maintenance/Replacement,2812 W 36TH ST,60632,1158164.254,1880654.993,12,9,58,41.82837095,-87.69537275,1
129,2018-12-17T00:00:00.000,Open,18-03383924,Garbage Cart Black Maintenance/Replacement,5120 S ROCKWELL ST,60632,1159903.669,1870625.195,14,9,63,41.80041217,-87.68924928,0
130,2018-12-17T00:00:00.000,Open,18-03383340,Garbage Cart Black Maintenance/Replacement,1339 S CALIFORNIA BLVD,60608,1157901.057,1893609.614,28,10,29,41.86355019,-87.69567447,0
131,2018-12-17T00:00:00.000,Open,18-03380513,Garbage Cart Black Maintenance/Replacement,5725 N AVONDALE AVE,60631,1132343.267,1937777.106,41,16,10,41.98561893,-87.78858822,0
132,2018-12-17T00:00:00.000,Open,18-03383624,Garbage Cart Black Maintenance/Replacement,11143 S SPAULDING AVE,60655,1156337.688,1830507.162,19,22,74,41.69029244,-87.70306971,0
133,2018-12-17T00:00:00.000,Open - Dup,18-03380224,Garbage Cart Black Maintenance/Replacement,2228 W 71ST ST,60636,1162619.886,1857542.022,17,8,66,41.76485371,-87.67962816,0
134,2018-12-17T00:00:00.000,Open,18-03382052,Garbage Cart Black Maintenance/Replacement,8364 S DORCHESTER AVE,60619,1186993.788,1849801.85,8,4,45,41.7424567,-87.59055785,0
135,2018-12-17T00:00:00.000,Open,18-03382520,Garbage Cart Black Maintenance/Replacement,3633 N PACIFIC AVE,60634,1122077.28,1923186.03,38,16,17,41.94602253,-87.82659362,0
136,2018-12-17T00:00:00.000,Open,18-03379659,Garbage Cart Black Maintenance/Replacement,10729 S STATE ST,60628,1178153.03,1833829.795,9,5,49,41.69899222,-87.62314148,0
137,2018-12-17T00:00:00.000,Open,18-03383654,Garbage Cart Black Maintenance/Replacement,7826 S MUSKEGON AVE,60649,1196482.004,1853620.791,7,4,43,41.7528648,-87.55567115,0
138,2018-12-17T00:00:00.000,Open,18-03381610,Garbage Cart Black Maintenance/Replacement,5809 S PAULINA ST,60636,1166005.744,1866129.025,16,7,67,41.78824926,-87.66671488,0
